tipo,codigo_marca,marca,codigo_modelo,modelo,codigo_ano,ano_modelo,combustivel,sigla_combustivel,codigo_fipe,mes_referencia,valor
carros,1,Acura,1,Integra GS 1.8,1992-1,1992,Gasolina,G,038003-2,agosto de 2025,"11.067,00"
carros,1,Acura,1,Integra GS 1.8,1991-1,1991,Gasolina,G,038003-2,agosto de 2025,"10.338,00"
carros,1,Acura,2,Legend 3.2/3.5,1998-1,1998,Gasolina,G,038002-4,agosto de 2025,"25.330,00"
carros,1,Acura,2,Legend 3.2/3.5,1997-1,1997,Gasolina,G,038002-4,agosto de 2025,"22.520,00"
carros,1,Acura,2,Legend 3.2/3.5,1996-1,1996,Gasolina,G,038002-4,agosto de 2025,"21.177,00"
carros,1,Acura,2,Legend 3.2/3.5,1995-1,1995,Gasolina,G,038002-4,agosto de 2025,"19.033,00"
carros,1,Acura,2,Legend 3.2/3.5,1994-1,1994,Gasolina,G,038002-4,agosto de 2025,"18.218,00"
carros,1,Acura,2,Legend 3.2/3.5,1993-1,1993,Gasolina,G,038002-4,agosto de 2025,"16.238,00"
carros,1,Acura,2,Legend 3.2/3.5,1992-1,1992,Gasolina,G,038002-4,agosto de 2025,"14.763,00"
carros,1,Acura,2,Legend 3.2/3.5,1991-1,1991,Gasolina,G,038002-4,agosto de 2025,"14.181,00"
carros,1,Acura,3,NSX 3.0,1995-1,1995,Gasolina,G,038001-6,agosto de 2025,"40.884,00"
carros,1,Acura,3,NSX 3.0,1994-1,1994,Gasolina,G,038001-6,agosto de 2025,"39.446,00"
carros,1,Acura,3,NSX 3.0,1993-1,1993,Gasolina,G,038001-6,agosto de 2025,"38.135,00"
carros,1,Acura,3,NSX 3.0,1992-1,1992,Gasolina,G,038001-6,agosto de 2025,"36.442,00"
carros,1,Acura,3,NSX 3.0,1991-1,1991,Gasolina,G,038001-6,agosto de 2025,"33.309,00"
carros,2,Agrale,4,MARRUÁ 2.8 12V 132cv TDI Diesel,2007-3,2007,Diesel,D,060001-6,agosto de 2025,"48.124,00"
carros,2,Agrale,4,MARRUÁ 2.8 12V 132cv TDI Diesel,2006-3,2006,Diesel,D,060001-6,agosto de 2025,"45.878,00"
carros,2,Agrale,4,MARRUÁ 2.8 12V 132cv TDI Diesel,2005-3,2005,Diesel,D,060001-6,agosto de 2025,"44.759,00"
carros,2,Agrale,4,MARRUÁ 2.8 12V 132cv TDI Diesel,2004-3,2004,Diesel,D,060001-6,agosto de 2025,"36.660,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2015-3,2015,Diesel,D,060003-2,agosto de 2025,"108.259,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2014-3,2014,Diesel,D,060003-2,agosto de 2025,"102.190,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2013-3,2013,Diesel,D,060003-2,agosto de 2025,"94.559,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2012-3,2012,Diesel,D,060003-2,agosto de 2025,"92.252,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2011-3,2011,Diesel,D,060003-2,agosto de 2025,"76.931,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2010-3,2010,Diesel,D,060003-2,agosto de 2025,"64.563,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2009-3,2009,Diesel,D,060003-2,agosto de 2025,"50.722,00"
carros,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2008-3,2008,Diesel,D,060003-2,agosto de 2025,"45.401,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2015-3,2015,Diesel,D,060004-0,agosto de 2025,"118.093,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2014-3,2014,Diesel,D,060004-0,agosto de 2025,"109.028,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2013-3,2013,Diesel,D,060004-0,agosto de 2025,"105.559,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2012-3,2012,Diesel,D,060004-0,agosto de 2025,"98.398,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2011-3,2011,Diesel,D,060004-0,agosto de 2025,"78.934,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2010-3,2010,Diesel,D,060004-0,agosto de 2025,"67.626,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2009-3,2009,Diesel,D,060004-0,agosto de 2025,"56.808,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2008-3,2008,Diesel,D,060004-0,agosto de 2025,"52.090,00"
carros,2,Agrale,4563,MARRUÁ AM 100 2.8 CD TDI Diesel,2007-3,2007,Diesel,D,060004-0,agosto de 2025,"49.644,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2015-3,2015,Diesel,D,060005-9,agosto de 2025,"109.698,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2014-3,2014,Diesel,D,060005-9,agosto de 2025,"102.661,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2013-3,2013,Diesel,D,060005-9,agosto de 2025,"95.536,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2012-3,2012,Diesel,D,060005-9,agosto de 2025,"89.999,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2011-3,2011,Diesel,D,060005-9,agosto de 2025,"76.451,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2010-3,2010,Diesel,D,060005-9,agosto de 2025,"61.415,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2009-3,2009,Diesel,D,060005-9,agosto de 2025,"52.375,00"
carros,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2008-3,2008,Diesel,D,060005-9,agosto de 2025,"47.663,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2015-3,2015,Diesel,D,060006-7,agosto de 2025,"123.208,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2014-3,2014,Diesel,D,060006-7,agosto de 2025,"116.588,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2013-3,2013,Diesel,D,060006-7,agosto de 2025,"109.853,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2012-3,2012,Diesel,D,060006-7,agosto de 2025,"107.173,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2011-3,2011,Diesel,D,060006-7,agosto de 2025,"87.618,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2010-3,2010,Diesel,D,060006-7,agosto de 2025,"69.026,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2009-3,2009,Diesel,D,060006-7,agosto de 2025,"60.007,00"
carros,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2008-3,2008,Diesel,D,060006-7,agosto de 2025,"56.890,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2022-3,2022,Diesel,D,060008-3,agosto de 2025,"341.586,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2021-3,2021,Diesel,D,060008-3,agosto de 2025,"322.253,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2020-3,2020,Diesel,D,060008-3,agosto de 2025,"308.644,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2019-3,2019,Diesel,D,060008-3,agosto de 2025,"232.233,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2018-3,2018,Diesel,D,060008-3,agosto de 2025,"189.379,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2017-3,2017,Diesel,D,060008-3,agosto de 2025,"150.657,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2016-3,2016,Diesel,D,060008-3,agosto de 2025,"129.512,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2015-3,2015,Diesel,D,060008-3,agosto de 2025,"126.023,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2014-3,2014,Diesel,D,060008-3,agosto de 2025,"119.395,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2013-3,2013,Diesel,D,060008-3,agosto de 2025,"109.203,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2012-3,2012,Diesel,D,060008-3,agosto de 2025,"102.028,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2011-3,2011,Diesel,D,060008-3,agosto de 2025,"88.867,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2010-3,2010,Diesel,D,060008-3,agosto de 2025,"71.251,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2009-3,2009,Diesel,D,060008-3,agosto de 2025,"65.904,00"
carros,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2008-3,2008,Diesel,D,060008-3,agosto de 2025,"62.048,00"
carros,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2022-3,2022,Diesel,D,060007-5,agosto de 2025,"318.316,00"
carros,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2021-3,2021,Diesel,D,060007-5,agosto de 2025,"294.990,00"
carros,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2020-3,2020,Diesel,D,060007-5,agosto de 2025,"271.761,00"
carros,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2019-3,2019,Diesel,D,060007-5,agosto de 2025,"218.269,00"
carros,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2018-3,2018,Diesel,D,060007-5,agosto de 2025,"182.343,00"
carros,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2017-3,2017,Diesel,D,060007-5,agosto de 2025,"142.818,00"
carros,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2016-3,2016,Diesel,D,060007-5,agosto de 2025,"126.787,00"
